2010-07-16;2013-09-11;
2013-08-30;23036.49;
2013-08-29;23034.26;
2013-08-28;23032.04;
2013-08-27;23029.81;
2013-08-26;23027.59;
2013-08-25;23025.36;
2013-08-24;23023.14;
2013-08-23;23020.91;
2013-08-22;23018.69;
2013-08-21;23016.46;
2013-08-20;23014.24;
2013-08-19;23012.02;
2013-08-18;23009.79;
2013-08-17;23007.57;
2013-08-16;23005.35;
2013-08-15;23003.12;
2013-08-14;23000.9;
2013-08-13;22998.68;
2013-08-12;22996.46;
2013-08-11;22994.23;
2013-08-10;22992.01;
2013-08-09;22989.79;
2013-08-08;22985.35;
2013-08-07;22980.92;
2013-08-06;22976.48;
2013-08-05;22972.05;
2013-08-04;22967.62;
2013-08-03;22963.18;
2013-08-02;22958.75;
2013-08-01;22954.32;
2013-07-31;22949.89;
2013-07-30;22945.47;
2013-07-29;22941.04;
2013-07-28;22936.61;
2013-07-27;22932.19;
2013-07-26;22927.76;
2013-07-25;22923.34;
2013-07-24;22918.91;
2013-07-23;22914.49;
2013-07-22;22910.07;
2013-07-21;22905.65;
2013-07-20;22901.23;
2013-07-19;22896.81;
2013-07-18;22892.39;
2013-07-17;22887.98;
2013-07-16;22883.56;
2013-07-15;22879.14;
2013-07-14;22874.73;
2013-07-13;22870.32;
2013-07-12;22865.9;
2013-07-11;22861.49;
2013-07-10;22857.08;
2013-07-09;22852.67;
2013-07-08;22852.67;
2013-07-07;22852.67;
2013-07-06;22852.67;
2013-07-05;22852.67;
2013-07-04;22852.67;
2013-07-03;22852.67;
2013-07-02;22852.67;
2013-07-01;22852.67;
2013-06-30;22852.67;
2013-06-29;22852.67;
2013-06-28;22852.67;
2013-06-27;22852.67;
2013-06-26;22852.67;
2013-06-25;22852.67;
2013-06-24;22852.67;
2013-06-23;22852.67;
2013-06-22;22852.67;
2013-06-21;22852.67;
2013-06-20;22852.67;
2013-06-19;22852.67;
2013-06-18;22852.67;
2013-06-17;22852.67;
2013-06-16;22852.67;
2013-06-15;22852.67;
2013-06-14;22852.67;
2013-06-13;22852.67;
2013-06-12;22852.67;
2013-06-11;22852.67;
2013-06-10;22852.67;
2013-06-09;22852.67;
2013-06-08;22856.37;
2013-06-07;22860.06;
2013-06-06;22863.76;
2013-06-05;22867.46;
2013-06-04;22871.16;
2013-06-03;22874.85;
2013-06-02;22878.55;
2013-06-01;22882.25;
2013-05-31;22885.95;
2013-05-30;22889.65;
2013-05-29;22893.36;
2013-05-17;22937.82;
2013-05-16;22941.53;
2013-05-15;22945.24;
2013-05-14;22948.95;
2013-05-13;22952.66;
2013-05-12;22956.37;
